time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1242315355 9.215718466126787689e-18 4.336808689942017736e-19 -9.540979117872439019e-18 -2.602085213965210642e-17 9.974659986866640793e-18 2.558717127065790464e-17
1242315355.000976562 2.493664996716660198e-18 2.276824562219559311e-18 -9.324138683375338132e-18 -2.645453300864630819e-17 1.344410693882025498e-17 3.165870343657672947e-17
1242315355.001953125 6.07153216591882483e-18 -5.204170427930421283e-18 -2.168404344971008868e-17 -4.857225732735059864e-17 1.105886215935214523e-17 3.469446951953614189e-17
1242315355.002929688 1.431146867680865853e-17 1.1492543028346347e-17 -6.288372600415925717e-18 -3.458604930228759144e-17 2.949029909160572061e-17 5.594483210025202879e-17
1242315355.00390625 -4.336808689942017736e-18 -7.047353595128689113e-18 -2.862293735361731706e-17 -6.24500451351650554e-17 1.431146867680865853e-17 4.640385298237958978e-17
1242315355.004882812 -6.07153216591882483e-18 5.204170427930421283e-18 -1.734723475976807094e-17 -5.117434254131580929e-17 2.645453300864630819e-17 5.898059818321144121e-17
1242315355.005859375 1.301042606982605321e-18 8.673617379884035472e-19 -1.301042606982605321e-17 -3.599551212651874721e-17 1.637145280453111695e-17 4.011548038196366406e-17
1242315355.006835938 4.336808689942017736e-19 9.77846934780710889e-20 -1.350682579352445807e-17 -3.339342691255353657e-17 1.387778780781445676e-17 3.230922474006803213e-17
1242315355.0078125 -4.380176776841437913e-17 -3.469446951953614189e-18 -1.994931997373328159e-17 -4.336808689942017736e-17 1.127570259384924611e-17 3.295974604355933479e-17
1242315355.008789062 1.301042606982605321e-17 2.818925648462311528e-18 -1.561251128379126385e-17 -4.119968255444916849e-17 1.97324795392361807e-17 4.510281037539698445e-17
1242315355.009765625 -2.515349040166370287e-17 1.301042606982605321e-17 -7.372574772901430151e-18 -3.94649590784723614e-17 3.339342691255353657e-17 6.808789643208967846e-17
1242315355.010742188 1.821459649775647449e-17 -6.938893903907228378e-18 -2.558717127065790464e-17 -5.616167253474912968e-17 1.431146867680865853e-17 4.727121472036799332e-17
1242315355.01171875 1.029992063861229212e-17 -3.577867169202164632e-18 -1.64798730217796674e-17 -3.556183125752454544e-17 8.890457814381136359e-18 2.857222550476057091e-17
1242315355.012695312 -3.111660235033397726e-17 -2.168404344971008868e-18 -1.561251128379126385e-17 -3.816391647148975608e-17 1.252447644347598201e-17 3.404394821604483923e-17
1242315355.013671875 5.637851296924623057e-18 9.974659986866640793e-18 -9.107298248878237246e-18 -3.556183125752454544e-17 2.905661822261151883e-17 5.724587470723463412e-17
1242315355.014648438 -3.295974604355933479e-17 2.818925648462311528e-18 -1.431146867680865853e-17 -4.076600168545496672e-17 2.016616040823038247e-17 4.553649124439118623e-17
1242315355.015625 7.914675859144182368e-18 3.252606517456513302e-18 -8.456776945386934585e-18 -2.640032290002203297e-17 1.626303258728256651e-17 3.523657060577889411e-17
