#time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1185389800 -2.003571245369905378e-17 1.114629824732271733e-13 -7.444692746691533044e-12 -1.106918757407010357e-10 8.625519160647914847e-12 1.081542942698881668e-10
1185389800.000976562 -1.994931997373328159e-17 -1.616847489227524193e-10 -4.622211034061018964e-10 -8.858738066025440006e-10 4.88158471978472619e-12 4.300583153482584464e-10
1185389800.001953125 1.105886215935214523e-17 -5.29394236781222105e-15 -6.741277674970902467e-12 -9.753781116117465899e-11 7.868650175879565722e-12 8.980195233265764188e-11
1185389800.002929688 -1.669671345627676828e-17 -1.663680321978278087e-10 -4.650653352006317576e-10 -8.746612878418602577e-10 4.32520685933468485e-12 4.301477368739980989e-10
1185389800.00390625 6.722053469410127491e-18 1.521699433126855183e-14 -6.655125235621728308e-12 -8.947296029071516443e-11 7.506485016905983798e-12 8.339454127259671168e-11
1185389800.004882812 -5.637851296924623057e-18 -1.664035090276350104e-10 -4.651616036799310905e-10 -8.72908656815440942e-10 5.140042905193986655e-12 4.290548385327275227e-10
1185389800.005859375 -6.938893903907228378e-18 1.267042026853459902e-14 -6.543016128901513184e-12 -8.525583711227469053e-11 7.387338137043730768e-12 7.930500700581433193e-11
1185389800.006835938 1.257674520083185143e-17 -1.686824152580257419e-10 -4.664629620065863236e-10 -8.683057263654536673e-10 5.141060428932864301e-12 4.275095555339447628e-10
1185389800.0078125 -1.517883041479706208e-17 -2.134403764841863449e-14 -6.386238760036633266e-12 -8.19727454318130988e-11 7.313628869187738246e-12 7.509811175698821728e-11
1185389800.008789062 5.204170427930421283e-18 -1.679183112002213818e-10 -4.67543503912537517e-10 -8.661554650596370308e-10 4.279077092661509596e-12 4.264271297182986586e-10
1185389800.009765625 -1.669671345627676828e-17 -2.766536999487811954e-14 -6.179577682896564284e-12 -7.881278962784676878e-11 7.011030644932247924e-12 7.195404948950878676e-11
1185389800.010742188 5.09575021068187084e-18 -1.687562450891633148e-10 -4.676428688732414685e-10 -8.65560529500486453e-10 4.280034660020248793e-12 4.256019009440947798e-10
1185389800.01171875 -7.22078646875345953e-17 -5.334621633323877177e-14 -6.178958440825749188e-12 -7.62709478907552807e-11 7.097947229972589867e-12 6.853656531191631984e-11
1185389800.012695312 4.401860820291148002e-17 -1.687931964339250968e-10 -4.6774223383394542e-10 -8.651055774522298236e-10 4.254691651078834624e-12 4.250249978354769809e-10
1185389800.013671875 -6.505213034913026604e-18 -6.927444728965781451e-14 -6.249778472522393713e-12 -7.445527527849549188e-11 6.909342889493963469e-12 6.666872609528695648e-11
1185389800.014648438 -8.239936510889833698e-18 -1.688302275759667737e-10 -4.678416577752475547e-10 -8.647697384567276657e-10 3.282582539121392529e-12 4.251148461031917236e-10
1185389800.015625 1.409462824231155764e-17 -4.906231670931404665e-14 -6.277896605344501779e-12 -7.289279249644842196e-11 6.757924081446375908e-12 6.539816604922421561e-11
1185389800.016601562 -2.47198095326695011e-17 -1.688672535138380226e-10 -4.677513446016412502e-10 -8.646083345803523557e-10 3.259680719791546721e-12 4.252045555930283882e-10
1185389800.017578125 1.062518129035794345e-17 -3.921862834488365479e-14 -6.350815706657186865e-12 -7.173663052473244761e-11 6.629504237243288856e-12 6.422473664002836813e-11
1185389800.018554688 -1.843143693225357538e-17 -1.693286691417661416e-10 -4.680407172941158933e-10 -8.647913773973670004e-10 3.389503955286699011e-12 4.252942373272894372e-10
1185389800.01953125 -1.084202172485504434e-18 -7.895073483865644448e-14 -6.32853752041695472e-12 -7.071043750528360761e-11 6.642009858781605658e-12 6.323890022752465256e-11
1185389800.020507812 3.469446951953614189e-18 -1.693654660961385616e-10 -4.681403095035951978e-10 -8.649745641964301512e-10 3.506542278763902232e-12 4.253840543699816124e-10
1185389800.021484375 -1.019150042136374168e-17 -1.044442310416116015e-13 -6.411493731761641612e-12 -6.931107771057654077e-11 6.624215065365035571e-12 6.23850554548610603e-11
1185389800.022460938 3.979021973021801273e-17 -1.694022977449805012e-10 -4.682399537547787816e-10 -8.651577648732811099e-10 3.613262467005995404e-12 4.254738783515676914e-10
1185389800.0234375 5.312590645178971727e-18 -1.316793896144474729e-13 -6.376794925433415528e-12 -6.822656328786536051e-11 6.586731160496128723e-12 6.19174867627636516e-11
1185389800.024414062 3.295974604355933479e-17 -1.694391016382468251e-10 -4.683394991267242347e-10 -8.653410210612832998e-10 3.711392304595051428e-12 4.255639035610769838e-10
1185389800.025390625 3.014082039509702327e-17 -1.569022689551502481e-13 -6.290842846645716691e-12 -6.732274460130582838e-11 6.588320167200123478e-12 6.084323322941287415e-11
1185389800.026367188 -5.42101086242752217e-19 -1.694759402259826686e-10 -4.684392214404642374e-10 -8.655243674549062405e-10 3.802312631417947841e-12 4.256538220850925036e-10
1185389800.02734375 -8.131516293641283255e-18 -1.894873147278985925e-13 -6.287409828886758589e-12 -6.649214165377337338e-11 6.621033582510094107e-12 6.063842830639210035e-11
1185389800.028320312 8.131516293641283255e-18 -1.697553903001747244e-10 -4.685389229375225284e-10 -8.657078283402785956e-10 3.887185712203589105e-12 4.257437596910662592e-10
1185389800.029296875 1.561251128379126385e-17 -2.258601292104422953e-13 -6.424080017941591336e-12 -6.560329102872630713e-11 6.580213804396883859e-12 6.00498522435044535e-11
1185389800.030273438 -2.2985086056692694e-17 -1.70154529355315276e-10 -4.68638808315269273e-10 -8.658914418813168368e-10 3.966785233622260876e-12 4.258337571449999359e-10
1185389800.03125 -1.1492543028346347e-17 -2.541300503366983321e-13 -6.461255142031774312e-12 -6.493761084414018114e-11 6.527112184073757817e-12 5.902525690437698813e-11
1185389800.032226562 -3.794707603699265519e-17 -1.700493773570954659e-10 -4.694472033328622729e-10 -8.652340649506484738e-10 3.979455653890795475e-12 4.25923726843357997e-10
1185389800.033203125 3.149607311070390381e-17 -2.629563233824683266e-13 -6.425165954837552817e-12 -6.430793939894707822e-11 6.422265497185719596e-12 5.805445013606913562e-11
1185389800.034179688 -2.545164599909721659e-17 -1.697667006972380932e-10 -4.696077693377986861e-10 -8.64679966516845866e-10 3.796268854827644645e-12 4.260138353195941363e-10
1185389800.03515625 -1.534146074066988774e-17 -2.690347944422910587e-13 -6.386946527214831804e-12 -6.3596314846259272e-11 6.408873431951178645e-12 5.713135520224454922e-11
1185389800.036132812 3.849764745270795041e-17 -1.696604176593119462e-10 -4.697074257320466018e-10 -8.648619112539002174e-10 4.016599552958410868e-12 4.26103985429193699e-10
1185389800.037109375 -8.491505296224360899e-18 -2.863612125203474079e-13 -6.312617095716177573e-12 -6.314308798049950155e-11 6.3275218398217703e-12 5.625048690727219025e-11
1185389800.038085938 3.12250225675825277e-17 -1.696973256359868287e-10 -4.698070821262945174e-10 -8.650434943011098277e-10 4.244306295309030475e-12 4.26194191049944493e-10
1185389800.0390625 -2.818925648462311528e-18 -3.206601650873608378e-13 -6.329103907631861148e-12 -6.264723115267933906e-11 6.38615549330978638e-12 5.557397597666380307e-11
1185389800.040039062 1.084202172485504434e-17 -1.697342266737678074e-10 -4.696260602621293856e-10 -8.652253358221173585e-10 4.294176125796411725e-12 4.262844383040587104e-10
1185389800.041015625 2.059984127722458425e-17 -3.713140905858836049e-13 -6.381992156967442043e-12 -6.211342551409870794e-11 6.327105506187535866e-12 5.515976564396396498e-11
1185389800.041992188 -2.602085213965210642e-18 -1.697712248560634407e-10 -4.692383148707790497e-10 -8.654073568870046529e-10 4.295119815367343108e-12 4.263747410693241591e-10
1185389800.04296875 -7.155734338404329264e-18 -3.994582442601313232e-13 -6.417033571182173546e-12 -6.158604182182614295e-11 6.220107762189286404e-12 5.427014393433182704e-11
1185389800.043945312 4.076600168545496672e-17 -1.698081120160566115e-10 -4.693384569876002388e-10 -8.65589322440740716e-10 4.295952482635811975e-12 4.264648634233481062e-10
1185389800.044921875 6.24500451351650554e-17 -3.932409953222304466e-13 -6.452671730272641071e-12 -6.131171959022907458e-11 6.077471859100569418e-12 5.378807121925177626e-11
1185389800.045898438 -3.024924061234557371e-17 -1.698452121133564585e-10 -4.694386615544665631e-10 -8.657713955473322898e-10 4.339469755754166158e-12 4.265552078219769783e-10
1185389800.046875 -1.008308020411519124e-17 -3.874123244429483748e-13 -6.481898351395898317e-12 -6.103882677077621111e-11 6.032091492969016144e-12 5.375790958217496751e-11
1185389800.047851562 -8.267041565201971309e-18 -1.69882274914101572e-10 -4.695388244879694639e-10 -8.659535311039689987e-10 4.297784350626443484e-12 4.266456632429083129e-10
1185389800.048828125 1.428436362249652092e-17 -4.214961712989406806e-13 -6.579736755440990237e-12 -6.067851776592192437e-11 5.88556980929411111e-12 5.357037036191059087e-11
1185389800.049804688 -6.166399856011306468e-18 -1.699193563631240522e-10 -4.696389943603662687e-10 -8.655055283579571324e-10 4.298728040197374867e-12 4.267360353971128006e-10
1185389800.05078125 -2.440810140807991857e-17 -4.443667656062189053e-13 -6.625089365996927881e-12 -6.033862298693293269e-11 5.857647700224788423e-12 5.299627403587692243e-11
1185389800.051757812 7.502679033599690683e-17 -1.703090446447674822e-10 -4.697393030106411516e-10 -8.647737526068510761e-10 4.299727240919537508e-12 4.268264630624685196e-10
1185389800.052734375 7.795413620170776881e-17 -4.815592369311616494e-13 -6.690870080205968407e-12 -6.001815711087488125e-11 5.643263634169670695e-12 5.224831678418695446e-11
1185389800.053710938 4.336808689942017736e-19 -1.708040653358722238e-10 -4.698395474761474233e-10 -8.642771498479362435e-10 4.30069868606608452e-12 4.269167797055217761e-10
1185389800.0546875 1.214306433183764966e-17 -5.181410855925605574e-13 -6.761348425587954125e-12 -5.971526051418152292e-11 5.612295350676532735e-12 5.159762894724195803e-11
1185389800.055664062 -3.035766082959412415e-18 -1.71282821259666207e-10 -4.699398925556153017e-10 -8.644592819351260005e-10 4.364730799011340423e-12 4.270072073708774951e-10
1185389800.056640625 2.558717127065790464e-17 -5.104250355714157195e-13 -6.829481424830419201e-12 -5.942882297382823253e-11 5.538597358523134062e-12 5.09620123878562481e-11
1185389800.057617188 6.07153216591882483e-18 -1.714263175855990085e-10 -4.700404510060707253e-10 -8.646414140223157574e-10 4.442113343827713834e-12 4.270980791254430642e-10
1185389800.05859375 -7.589415207398531038e-17 -5.345168752057816164e-13 -6.89565071709807853e-12 -5.915756773333669116e-11 5.521472168368291022e-12 5.034056504982231672e-11
1185389800.059570312 7.112366251504909087e-17 -1.714625021825844087e-10 -4.701406694507248574e-10 -8.648236731780001296e-10 4.51692849789964157e-12 4.271885623019500144e-10
1185389800.060546875 -2.602085213965210642e-18 -5.938513569780923262e-13 -6.979528066608509107e-12 -5.890099519234581749e-11 5.508080103133750072e-12 4.982096679650993565e-11
1185389800.061523438 -2.537033083616080376e-17 -1.714985375933508749e-10 -4.702411238177717223e-10 -8.646794946720604003e-10 4.588829316531928271e-12 4.27279100989608196e-10
1185389800.0625 8.023096076392732812e-18 -6.261657858885882888e-13 -7.079170583068616907e-12 -5.865777308322606132e-11 5.525135904349554039e-12 4.954459065231731074e-11
1185389800.063476562 -1.604619215278546562e-17 -1.715344533081974987e-10 -4.703418488016808396e-10 -8.650990201974906313e-10 4.658384789024694328e-12 4.273699449885981494e-10
1185389800.064453125 3.469446951953614189e-17 -6.545319841677610384e-13 -7.092826326271506332e-12 -5.842706873870895379e-11 5.538125513737668371e-12 4.896633098994129796e-11
1185389800.065429688 3.686287386450715076e-18 -1.715705216787100085e-10 -4.704422129631069538e-10 -8.653707195271920227e-10 4.725483893075477226e-12 4.274605391874075622e-10
1185389800.06640625 -2.211772431870429045e-17 -7.084888231645436463e-13 -7.16918885368400538e-12 -5.820828541391875888e-11 5.514422252161921278e-12 4.840092215907532136e-11
1185389800.067382812 -6.938893903907228378e-18 -1.716064512713444401e-10 -4.705427714135623773e-10 -8.655533234591672453e-10 4.790334795501394183e-12 4.275512166529438218e-10
