time median 50%_lower 50%_upper 90%_lower 90%_upper
0 -0.0118508 -0.0136957 -0.0100458 -0.0164241 -0.00720363
0.00195312 -0.0115149 -0.0134002 -0.00959028 -0.0162381 -0.0064828
0.00390625 -0.00504176 -0.00691005 -0.00310634 -0.00980399 0.000239113
0.00585938 0.00446533 0.00262616 0.0063493 -0.000184868 0.0092879
0.0078125 0.012037 0.0102194 0.0137963 0.00748582 0.016502
0.00976562 0.0137726 0.0118796 0.0156692 0.00875542 0.0184217
0.0117188 0.00888406 0.00692613 0.0107535 0.00334116 0.0135615
0.0136719 -0.000267317 -0.00215394 0.00149863 -0.00535413 0.00432114
0.015625 -0.00908087 -0.0107829 -0.00734505 -0.0134083 -0.00471441
0.0175781 -0.0128761 -0.0146096 -0.0111072 -0.0173015 -0.00825912
0.0195312 -0.0100734 -0.0118911 -0.00820255 -0.0146385 -0.00471003
0.0214844 -0.00211667 -0.00391143 -0.000175027 -0.00668635 0.00330545
0.0234375 0.00681811 0.00505652 0.00863167 0.00233973 0.0115322
0.0253906 0.0118889 0.0101376 0.0136813 0.00740016 0.0163275
0.0273438 0.0105174 0.00862784 0.0123486 0.00546026 0.0151525
0.0292969 0.0034411 0.00149597 0.00525379 -0.00188302 0.00809416
0.03125 -0.00581477 -0.00766069 -0.00401062 -0.0106382 -0.00123568
0.0332031 -0.0122245 -0.0140044 -0.0104345 -0.0166478 -0.00765285
0.0351562 -0.0124382 -0.0143203 -0.0105733 -0.0170515 -0.00744718
0.0371094 -0.00632489 -0.00816529 -0.00442731 -0.0109872 -0.000991017
0.0390625 0.00312877 0.00133391 0.00496695 -0.00145551 0.00797386
0.0410156 0.0110685 0.00933476 0.0127982 0.0066564 0.0154426
0.0429688 0.0133664 0.011517 0.0151911 0.00849165 0.0179175
0.0449219 0.0090336 0.00712127 0.0108716 0.00358228 0.0136638
0.046875 0.000146142 -0.00173376 0.0019216 -0.00501491 0.00467546
0.0488281 -0.0086944 -0.0104113 -0.00693918 -0.013068 -0.00428242
0.0507812 -0.0127956 -0.0145674 -0.0110366 -0.0172211 -0.00826419
0.0527344 -0.0103143 -0.012155 -0.00842405 -0.0148732 -0.00506377
0.0546875 -0.00256484 -0.00434245 -0.000600838 -0.0071271 0.00280108
0.0566406 0.00654799 0.0047967 0.00833962 0.00212178 0.0112303
0.0585938 0.0119967 0.0102625 0.0137443 0.00753336 0.0163932
0.0605469 0.0110735 0.0092241 0.0128964 0.00607483 0.0156706
0.0625 0.00425941 0.00237491 0.00606958 -0.00103136 0.0088683
0.0644531 -0.00498191 -0.00684083 -0.00318418 -0.00983949 -0.000415941
0.0664062 -0.0117399 -0.01353 -0.00998806 -0.0162433 -0.00723104
0.0683594 -0.0124096 -0.0142586 -0.0105324 -0.0170168 -0.00751986
0.0703125 -0.00668734 -0.00852673 -0.00478289 -0.0113659 -0.00138928
0.0722656 0.00272698 0.000912969 0.00456888 -0.00185192 0.00760114
0.0742188 0.0109209 0.00914363 0.0126609 0.0064396 0.015297
0.0761719 0.0136823 0.0118164 0.0155232 0.00880375 0.0182769
0.078125 0.00975566 0.00778295 0.0116076 0.00425473 0.0144266
0.0800781 0.00107602 -0.000854779 0.00286335 -0.00418232 0.00562762
0.0820312 -0.0079933 -0.00971256 -0.00628202 -0.0124322 -0.00363842
0.0839844 -0.0125737 -0.0143032 -0.0108277 -0.0169739 -0.00813063
0.0859375 -0.010642 -0.0124481 -0.00877284 -0.0151868 -0.00542778
0.0878906 -0.00322444 -0.00502968 -0.00127927 -0.00781292 0.00221698
0.0898438 0.00577635 0.00400298 0.0076454 0.00128542 0.010651
0.0917969 0.0114801 0.00973808 0.0132793 0.00700243 0.0159919
0.09375 0.010849 0.00897783 0.012685 0.00590122 0.0155048
0.0957031 0.00425136 0.0023256 0.00607403 -0.00100578 0.00897127
0.0976562 -0.00509521 -0.00697097 -0.00323225 -0.0099783 -0.000426893
0.0996094 -0.0121834 -0.0140032 -0.0103269 -0.0167291 -0.00750875
0.101562 -0.0132814 -0.0152153 -0.0113432 -0.0180068 -0.00821244
0.103516 -0.00782709 -0.00972471 -0.00585517 -0.0125545 -0.00238957
0.105469 0.00159157 -0.00020543 0.00347665 -0.00305098 0.00652845
0.107422 0.0102548 0.00850092 0.0119734 0.00588751 0.0145767
0.109375 0.0136786 0.0118468 0.0154612 0.00885059 0.0181763
0.111328 0.0104378 0.00850529 0.0122833 0.00484311 0.0150638
0.113281 0.00217399 0.00023276 0.00398944 -0.00329924 0.00670739
0.115234 -0.00679022 -0.00858552 -0.00501864 -0.0114357 -0.00231562
0.117188 -0.0116109 -0.0133489 -0.00988909 -0.016072 -0.00719041
0.119141 -0.0099689 -0.0117847 -0.00808668 -0.0145933 -0.00490939
0.121094 -0.00282175 -0.00464019 -0.000836161 -0.00750743 0.00258039
0.123047 0.00620728 0.00437451 0.00811864 0.00152336 0.0111596
0.125 0.0121267 0.0102781 0.0139785 0.00740295 0.0167335
0.126953 0.0117564 0.00982578 0.0136672 0.00668211 0.0165041
0.128906 0.0051598 0.00323386 0.00705502 -0.00010791 0.00995924
0.130859 -0.00442216 -0.00630239 -0.00256437 -0.00920786 0.000266678
0.132812 -0.0121192 -0.013888 -0.0103155 -0.0166127 -0.00759548
