
time median 50%_lower 50%_upper 90%_lower 90%_upper
0.0693359 -2.73254e-09 -1.41144e-06 9.81227e-08 -0.000415938 0.000182166
0.0703125 -5.06761e-10 -3.92119e-07 3.6406e-07 -0.000312245 0.000372797
0.0712891 -9.68785e-10 -5.81485e-07 2.51502e-07 -0.000364961 0.000340173
0.0722656 2.27199e-10 -2.80631e-07 5.31925e-07 -0.000218241 0.00036709
0.0732422 -1.33544e-09 -1.01348e-06 1.75136e-07 -0.000507547 0.000225353
0.0742188 1.18257e-09 -1.78858e-07 8.29694e-07 -0.000199301 0.000402472
0.0751953 2.95307e-11 -4.4255e-07 3.18367e-07 -0.000354392 0.000318538
0.0761719 5.45545e-10 -3.63275e-07 3.78944e-07 -0.000371188 0.000326906
0.0771484 3.4735e-10 -5.35862e-07 3.12527e-07 -0.000340566 0.000243381
0.078125 2.0154e-09 -1.42535e-07 7.04447e-07 -0.000248817 0.000473714
0.0791016 3.83987e-10 -7.93901e-07 2.62305e-07 -0.000387121 0.000224328
0.0800781 1.74164e-09 -2.93354e-07 4.26592e-07 -0.000334622 0.000316213
0.0810547 2.59089e-09 -1.84701e-07 5.52183e-07 -0.000294613 0.000402255
0.0820312 2.66043e-09 -1.8942e-07 5.31061e-07 -0.000270056 0.00030554
0.0830078 2.04872e-09 -4.26741e-07 3.66492e-07 -0.00045131 0.000277553
0.0839844 4.85112e-09 -5.76228e-08 8.35945e-07 -0.000250134 0.000368491
0.0849609 4.09151e-09 -1.00381e-07 6.56623e-07 -0.000293398 0.000355323
0.0859375 3.44238e-09 -2.53006e-07 4.69282e-07 -0.000444288 0.000267002
0.0869141 4.78467e-09 -1.00816e-07 6.27423e-07 -0.000272673 0.00030667
0.0878906 6.20432e-09 -4.61033e-08 7.7709e-07 -0.00030749 0.000420167
0.0888672 4.03532e-09 -2.51789e-07 4.89538e-07 -0.000349226 0.000285258
0.0898438 4.58e-09 -1.77472e-07 5.30781e-07 -0.000371891 0.000273244
0.0908203 8.73514e-09 -2.10333e-08 9.94954e-07 -0.000241543 0.000482714
0.0917969 4.74207e-09 -1.49129e-07 5.89316e-07 -0.00033451 0.000241142
0.0927734 5.41543e-09 -1.02958e-07 6.56114e-07 -0.000391398 0.000337207
0.09375 7.84834e-09 -3.91008e-08 8.84863e-07 -0.000307188 0.000337359
0.0947266 9.31903e-09 -2.62022e-08 1.05463e-06 -0.000254811 0.000388192
0.0957031 4.15689e-09 -3.57149e-07 4.93173e-07 -0.000501407 0.000223993
0.0966797 9.29538e-09 -2.61971e-08 1.13441e-06 -0.000213639 0.000372334
0.0976562 6.21155e-09 -9.12206e-08 7.8787e-07 -0.000356767 0.000364777
0.0986328 5.13981e-09 -1.45252e-07 7.05248e-07 -0.000320237 0.000332581
0.0996094 3.96721e-09 -3.01759e-07 5.45263e-07 -0.000394338 0.00023968
0.100586 1.0125e-08 -2.34267e-08 1.55847e-06 -0.00021194 0.000514809
