#time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1180922486 -6.888066395011115866e-18 1.652340939267453881e-12 -8.50154555924845936e-12 -1.402788503161141548e-10 1.4139852272008025e-11 1.262936762582874953e-10
1180922486.000976562 1.170938346284344789e-17 -2.324101674999745626e-11 -1.458440039743547079e-10 -4.669948247548738607e-10 6.077601963361267678e-11 3.282764338141674898e-10
1180922486.001953125 -1.669671345627676828e-17 1.670742103693223513e-12 -7.90390669580531835e-12 -1.178454694938935177e-10 1.369153054819882698e-11 9.947857511696800437e-11
1180922486.002929688 -4.77048955893621951e-18 -2.450577935020348264e-11 -1.453710147050757406e-10 -4.424304632236805007e-10 5.942922163496705545e-11 3.059627117635299598e-10
1180922486.00390625 -8.673617379884035472e-18 1.723850229229384468e-12 -7.540173780490322386e-12 -1.105643961801794362e-10 1.345265565610986869e-11 9.405258516448355977e-11
1180922486.004882812 -1.97324795392361807e-17 -2.426570831206772971e-11 -1.458055308434236252e-10 -4.405002582315298287e-10 5.852076787569993055e-11 2.980929739160309566e-10
1180922486.005859375 5.963111948670274387e-18 1.720549050454600604e-12 -7.499020122318095227e-12 -1.054613048907977746e-10 1.324907371313965854e-11 8.819795588310697099e-11
1180922486.006835938 -5.431852884152377214e-17 -2.427028478364789965e-11 -1.44478750577908821e-10 -4.373269541640967262e-10 5.729657547026700826e-11 2.936997915920294688e-10
1180922486.0078125 6.505213034913026604e-19 1.739816624102275e-12 -7.295171953504431261e-12 -1.016968563397405156e-10 1.315177827754254736e-11 8.537123091789666773e-11
1180922486.008789062 -2.645453300864630819e-17 -2.432152396147913009e-11 -1.430445224076537514e-10 -4.366770556263332992e-10 5.706597867860541129e-11 2.903803627673368082e-10
1180922486.009765625 1.778091562876227272e-17 1.78049935906088308e-12 -6.963728205189312348e-12 -9.851566795410909849e-11 1.293308168892615129e-11 8.232572349525790756e-11
1180922486.010742188 1.517883041479706208e-17 -2.427937928831114256e-11 -1.43013809128511582e-10 -4.351851726203115334e-10 5.772746516918836335e-11 2.869266178817664326e-10
1180922486.01171875 1.127570259384924611e-17 1.769048449395960176e-12 -7.221730158324390914e-12 -9.590085149613347681e-11 1.281374225475806483e-11 8.136198182198683959e-11
1180922486.012695312 1.170938346284344789e-17 -2.439434765300063646e-11 -1.434689598026062107e-10 -4.343388704253214883e-10 5.773767575156796283e-11 2.825407061091134153e-10
1180922486.013671875 3.664603343001004987e-17 1.699976964752991648e-12 -7.190047168759150509e-12 -9.267067419427982289e-11 1.262907833865511975e-11 8.070433297341361722e-11
