time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1243533581 -1.387778780781445676e-17 0 -1.183170797720431794e-17 -2.775557561562891351e-17 1.040834085586084257e-17 2.775557561562891351e-17
1243533581.000976562 0 -3.175598971506679199e-18 -1.561251128379126385e-17 -3.469446951953614189e-17 1.040834085586084257e-17 2.852573533480741686e-17
1243533581.001953125 2.775557561562891351e-17 -2.537632269599472918e-18 -1.561251128379126385e-17 -3.485897684577304268e-17 1.040834085586084257e-17 2.775557561562891351e-17
1243533581.002929688 2.775557561562891351e-17 0 -1.387778780781445676e-17 -3.469446951953614189e-17 1.4394895119689087e-17 3.989863994746656317e-17
1243533581.00390625 -4.163336342344337027e-17 -3.469446951953614189e-18 -2.077472379750034695e-17 -4.163336342344337027e-17 1.170938346284344789e-17 3.469446951953614189e-17
1243533581.004882812 -2.428612866367529932e-17 5.204170427930421283e-18 -1.317798067319192478e-17 -3.816391647148975608e-17 2.255140518769849223e-17 4.683753385137379155e-17
1243533581.005859375 -5.030698080332740574e-17 -3.469446951953614189e-18 -1.821459649775647449e-17 -4.293957345745136858e-17 1.127570259384924611e-17 3.145937973572757664e-17
1243533581.006835938 -1.821459649775647449e-17 6.379588064161780645e-18 -6.938893903907228378e-18 -2.775557561562891351e-17 1.972928379724983011e-17 4.163336342344337027e-17
1243533581.0078125 -1.040834085586084257e-17 -1.383445113457029411e-18 -1.308397982597548125e-17 -2.775557561562891351e-17 7.096044038750419149e-18 2.444034172158233061e-17
1243533581.008789062 2.081668171172168513e-17 0 -1.214306433183764966e-17 -2.988229346101132568e-17 1.214306433183764966e-17 2.775557561562891351e-17
1243533581.009765625 0 -8.673617379884035472e-19 -1.561251128379126385e-17 -3.816391647148975608e-17 1.387778780781445676e-17 3.462116229092082583e-17
1243533581.010742188 -1.387778780781445676e-17 -3.903127820947815962e-18 -2.081668171172168513e-17 -4.307823666308242672e-17 1.127570259384924611e-17 3.556183125752454544e-17
1243533581.01171875 4.163336342344337027e-17 -8.673617379884035472e-19 -2.081668171172168513e-17 -4.569567987160642576e-17 1.568727978045345753e-17 4.455817707714021921e-17
1243533581.012695312 1.387778780781445676e-17 0 -1.734723475976807094e-17 -4.510281037539698445e-17 2.064382989503457035e-17 5.204170427930421283e-17
1243533581.013671875 2.775557561562891351e-17 0 -1.994931997373328159e-17 -4.857225732735059864e-17 1.561251128379126385e-17 4.163336342344337027e-17
1243533581.014648438 1.387778780781445676e-17 -6.07153216591882483e-18 -2.255140518769849223e-17 -4.857225732735059864e-17 1.040834085586084257e-17 3.12250225675825277e-17
1243533581.015625 1.387778780781445676e-17 0 -1.142238969405690448e-17 -2.775557561562891351e-17 1.040834085586084257e-17 2.775557561562891351e-17
1243533581.016601562 1.734723475976807094e-17 1.084202172485504434e-18 -1.040834085586084257e-17 -2.775557561562891351e-17 1.387778780781445676e-17 3.12250225675825277e-17
1243533581.017578125 -2.775557561562891351e-17 1.734723475976807094e-18 -1.387778780781445676e-17 -3.958253428981562576e-17 1.734723475976807094e-17 4.163336342344337027e-17
1243533581.018554688 -1.387778780781445676e-17 5.204170427930421283e-18 -1.387778780781445676e-17 -4.115988199817744664e-17 2.459582596603136221e-17 5.42101086242752217e-17
1243533581.01953125 -2.775557561562891351e-17 7.806255641895631925e-18 -1.133275715343992614e-17 -4.163336342344337027e-17 2.847033796298034327e-17 6.391640396646648227e-17
1243533581.020507812 1.387778780781445676e-17 0 -2.268306953035447491e-17 -5.551115123125782702e-17 1.829845268208042236e-17 5.204170427930421283e-17
1243533581.021484375 -5.551115123125782702e-17 0 -1.682356068616690462e-17 -4.163336342344337027e-17 1.387778780781445676e-17 3.961601698379803145e-17
1243533581.022460938 -2.775557561562891351e-17 0 -1.040834085586084257e-17 -2.775557561562891351e-17 1.387778780781445676e-17 3.623076356097747342e-17
1243533581.0234375 0 0 -1.387778780781445676e-17 -3.295974604355933479e-17 1.387778780781445676e-17 3.117062742303547068e-17
1243533581.024414062 -5.551115123125782702e-17 0 -1.387778780781445676e-17 -4.163336342344337027e-17 1.679848770103351141e-17 4.336808689942017736e-17
1243533581.025390625 -1.387778780781445676e-17 -6.938893903907228378e-18 -2.775557561562891351e-17 -5.551115123125782702e-17 1.040834085586084257e-17 3.816391647148975608e-17
1243533581.026367188 -3.469446951953614189e-17 0 -1.437834086432014286e-17 -4.857225732735059864e-17 2.081668171172168513e-17 5.030698080332740574e-17
1243533581.02734375 -1.47451495458028603e-17 0 -1.387778780781445676e-17 -3.895555528613737299e-17 1.387778780781445676e-17 3.789507757404408281e-17
1243533581.028320312 -1.387778780781445676e-17 0 -1.387778780781445676e-17 -3.426078865054194011e-17 1.387778780781445676e-17 3.867419707963804154e-17
1243533581.029296875 -1.387778780781445676e-17 -2.596779868295994563e-18 -1.908195823574487804e-17 -4.163336342344337027e-17 1.062996498440749842e-17 3.234553244444622846e-17
1243533581.030273438 -1.387778780781445676e-17 0 -1.089810660866207652e-17 -2.775557561562891351e-17 1.517883041479706208e-17 3.944871908454159481e-17
1243533581.03125 2.775557561562891351e-17 0 -1.278651772773779435e-17 -3.07109549625984387e-17 1.337569267921349616e-17 2.775557561562891351e-17
1243533581.032226562 2.775557561562891351e-17 0 -1.387778780781445676e-17 -3.469446951953614189e-17 1.387778780781445676e-17 3.469446951953614189e-17
1243533581.033203125 0 0 -1.387778780781445676e-17 -3.351983217180385561e-17 1.387778780781445676e-17 3.45583226903712735e-17
1243533581.034179688 0 0 -1.926074390725683235e-17 -4.333017981350655639e-17 1.205888113930243724e-17 3.340009282099743681e-17
1243533581.03515625 5.551115123125782702e-17 3.469446951953614189e-18 -7.836286789361982454e-18 -3.12250225675825277e-17 2.273687787488439197e-17 5.324449183597028279e-17
1243533581.036132812 0 0 -1.561251128379126385e-17 -4.681828732843135881e-17 1.734723475976807094e-17 4.683753385137379155e-17
1243533581.037109375 2.775557561562891351e-17 3.469446951953614189e-18 -8.287737632654426504e-18 -3.271256663441348398e-17 2.081668171172168513e-17 4.407156220336431598e-17
1243533581.038085938 3.469446951953614189e-18 0 -1.02336067821715752e-17 -3.211823275269651883e-17 1.47451495458028603e-17 4.163336342344337027e-17
1243533581.0390625 -2.775557561562891351e-17 0 -1.040834085586084257e-17 -3.317417093079117489e-17 9.082599330568245977e-18 2.775557561562891351e-17
1243533581.040039062 0 0 -1.387778780781445676e-17 -4.25532012309476155e-17 1.131902768769710572e-17 3.12250225675825277e-17
1243533581.041015625 -8.326672684688674053e-17 0 -1.387778780781445676e-17 -4.163336342344337027e-17 1.387778780781445676e-17 4.444150996781999721e-17
1243533581.041992188 1.11022302462515654e-16 0 -1.387778780781445676e-17 -5.075954505180916081e-17 1.693218861561346378e-17 5.132085460887617012e-17
1243533581.04296875 0 0 -2.465636216457126926e-17 -5.551115123125782702e-17 1.541154979053008632e-17 5.404511708338003855e-17
1243533581.043945312 0 0 -1.387778780781445676e-17 -5.204170427930421283e-17 2.515349040166370287e-17 5.551115123125782702e-17
1243533581.044921875 -5.551115123125782702e-17 -3.469446951953614189e-18 -2.775557561562891351e-17 -5.551115123125782702e-17 9.17912193310936306e-18 4.163336342344337027e-17
1243533581.045898438 -1.387778780781445676e-17 0 -1.387778780781445676e-17 -4.163336342344337027e-17 1.710723891851140996e-17 4.548329465210970289e-17
1243533581.046875 -1.561251128379126385e-17 0 -1.177121102463479355e-17 -2.775557561562891351e-17 1.053807007047828177e-17 2.775557561562891351e-17
1243533581.047851562 -6.938893903907228378e-18 0 -1.375051828459605899e-17 -3.001798718246683096e-17 1.014305850418163515e-17 2.775557561562891351e-17
1243533581.048828125 1.387778780781445676e-17 0 -1.775476605757544623e-17 -4.799989304261574696e-17 1.387778780781445676e-17 4.163336342344337027e-17
1243533581.049804688 2.775557561562891351e-17 0 -1.387778780781445676e-17 -4.994828538399275417e-17 2.428612866367529932e-17 5.551115123125782702e-17
1243533581.05078125 3.469446951953614189e-17 2.075084198853922238e-18 -1.387778780781445676e-17 -5.551115123125782086e-17 2.775557561562891351e-17 6.42422221528765782e-17
1243533581.051757812 -2.081668171172168513e-17 0 -2.775557561562891351e-17 -5.551115123125782702e-17 2.24070691637386624e-17 6.121541596234755194e-17
1243533581.052734375 6.938893903907228378e-17 0 -1.387778780781445676e-17 -4.613464383105076729e-17 1.863328793632750857e-17 5.551115123125782702e-17
1243533581.053710938 0 0 -1.028557700321886435e-17 -4.163336342344337027e-17 1.387778780781445676e-17 4.163336342344337027e-17
1243533581.0546875 0 0 -6.988156805565881739e-18 -4.163336342344337027e-17 1.387778780781445676e-17 5.551115123125782702e-17
1243533581.055664062 2.775557561562891351e-17 0 -1.387778780781445676e-17 -5.551115123125782702e-17 1.387778780781445676e-17 5.551115123125782702e-17
1243533581.056640625 0 0 -5.152188091176208219e-18 -5.551115123125782702e-17 2.775557561562891351e-17 8.07506600625614746e-17
1243533581.057617188 0 0 -1.70513700191789597e-17 -5.551115123125782702e-17 1.559814962279330267e-17 5.731626161348806912e-17
1243533581.05859375 0 0 -1.173631674524236641e-17 -5.551115123125782702e-17 1.387778780781445676e-17 5.551115123125782702e-17
1243533581.059570312 5.551115123125782702e-17 0 -8.871082710338504277e-18 -5.551115123125782702e-17 1.4398132305437461e-17 5.551115123125782702e-17
1243533581.060546875 2.775557561562891351e-17 0 -6.938893903907228378e-18 -3.469446951953614189e-17 2.004762833166632756e-17 5.551115123125782702e-17
1243533581.061523438 0 0 -1.387778780781445676e-17 -4.163336342344337027e-17 1.387778780781445676e-17 5.447419210287182564e-17
1243533581.0625 2.775557561562891351e-17 0 -1.9716782124759923e-17 -5.551115123125782702e-17 6.938893903907228378e-18 4.163336342344337027e-17
1243533581.063476562 0 0 -1.07442686441886001e-18 -3.343579689924379051e-17 2.712180121737191155e-17 5.551115123125782702e-17
1243533581.064453125 0 0 -2.775557561562891351e-17 -8.067605571255514845e-17 0 5.551115123125782702e-17
1243533581.065429688 0 0 -1.557940758162900523e-18 -6.464373855398900049e-17 2.393541017654569113e-17 1.11022302462515654e-16
1243533581.06640625 0 0 -3.780168135126283729e-17 -1.11022302462515654e-16 0 1.11022302462515654e-16
1243533581.067382812 0 0 0 -1.11022302462515654e-16 3.449382153540078182e-17 1.11022302462515654e-16
1243533581.068359375 0 0 -2.526183269824702806e-17 -1.11022302462515654e-16 0 1.11022302462515654e-16
1243533581.069335938 5.551115123125782702e-17 0 0 -1.11022302462515654e-16 3.775605413499494083e-17 1.11022302462515654e-16
1243533581.0703125 0 0 -1.358978876958447538e-17 -5.551115123125782702e-17 2.648670864287505967e-18 5.551115123125782702e-17
1243533581.071289062 -1.387778780781445676e-17 0 -4.904126725505360836e-18 -3.924291643967654749e-17 2.081668171172168513e-17 5.551115123125782702e-17
1243533581.072265625 -5.551115123125782702e-17 0 0 -5.551115123125782702e-17 3.57647218978640806e-17 9.326394328006891828e-17
1243533581.073242188 -1.11022302462515654e-16 0 -2.925468597082648422e-17 -1.11022302462515654e-16 0 1.11022302462515654e-16
1243533581.07421875 -2.220446049250313081e-16 0 0 -2.220446049250313081e-16 5.778056166101062923e-17 1.454997391164890934e-16
1243533581.075195312 -2.220446049250313081e-16 0 -6.062346473017273238e-17 -2.220446049250313081e-16 0 9.036448415335294707e-17
1243533581.076171875 0 0 0 -2.220446049250313081e-16 3.557975107140527328e-17 1.797409609907514021e-16
1243533581.077148438 1.11022302462515654e-16 -6.49034247149772374e-20 -8.783595083186248029e-17 -1.595493433405314614e-16 0 9.960255395574290145e-17
1243533581.078125 0 0 -1.478200755720452183e-17 -5.551115123125782702e-17 0 5.551115123125782702e-17
1243533581.079101562 0 0 -2.220212075543767232e-17 -5.551115123125782702e-17 7.999983618917111563e-19 5.551115123125782702e-17
1243533581.080078125 -1.11022302462515654e-16 0 -5.889750165806469243e-17 -1.234798547582531203e-16 0 1.11022302462515654e-16
1243533581.081054688 0 0 0 -7.566648950310722293e-17 4.859875767546059241e-17 2.220446049250313081e-16
1243533581.08203125 0 0 -5.022353120771087236e-17 -2.220446049250313081e-16 0 2.220446049250313081e-16
1243533581.083007812 0 0 0 -1.11022302462515654e-16 7.645747188505922202e-17 2.220446049250313081e-16
1243533581.083984375 0 0 -1.183661773489429287e-17 -1.11022302462515654e-16 3.417550802018447191e-18 1.11022302462515654e-16
1243533581.084960938 0 6.938893903907228378e-18 0 -5.551115123125782702e-17 3.954663544484438234e-17 1.075145125650444011e-16
1243533581.0859375 0 0 0 -8.326672684688674053e-17 4.222767786281101865e-17 1.11022302462515654e-16
1243533581.086914062 0 0 -2.387929026536925632e-17 -1.201368446481020104e-16 0 7.754363428110914416e-17
1243533581.087890625 0 0 0 -2.220446049250313081e-16 5.977795327650005234e-17 2.220446049250313081e-16
1243533581.088867188 0 0 -6.986971266797345108e-17 -2.220446049250313081e-16 0 1.11022302462515654e-16
1243533581.08984375 0 0 -1.026786066328653361e-20 -1.11022302462515654e-16 1.216974005338779164e-17 9.08043093130750273e-17
1243533581.090820312 0 0 -2.775557561562891351e-17 -6.734800219415382195e-17 6.938893903907228378e-18 5.551115123125782702e-17
1243533581.091796875 0 0 -3.546855914053503345e-17 -1.11022302462515654e-16 0 5.551115123125782702e-17
1243533581.092773438 0 0 0 -5.551115123125782702e-17 2.775557561562891351e-17 1.11022302462515654e-16
1243533581.09375 0 0 -1.196300544592128291e-17 -6.784057328607754943e-17 0 1.11022302462515654e-16
1243533581.094726562 0 0 0 -5.551115123125782702e-17 3.401480065967368017e-17 1.11022302462515654e-16
1243533581.095703125 0 0 -1.107999011733262712e-17 -5.551115123125782702e-17 1.734723475976807094e-17 5.551115123125782702e-17
1243533581.096679688 0 0 -1.919856210455024923e-17 -5.551115123125782702e-17 1.184142933035510129e-17 5.353160807897926413e-17
1243533581.09765625 0 0 -1.45536817192664112e-17 -1.11022302462515654e-16 1.525150471424355104e-17 6.253757910539425611e-17
1243533581.098632812 0 0 -1.854067247358375135e-17 -8.610281698193509463e-17 1.734723475976807094e-17 5.907787058037830906e-17
1243533581.099609375 0 0 -9.239582616322344322e-18 -5.551115123125782702e-17 1.908195823574487804e-17 5.551115123125782702e-17
1243533581.100585938 0 0 -9.984946586591837484e-18 -4.981477121527819472e-17 2.081668171172168513e-17 5.551115123125782702e-17
1243533581.1015625 0 0 -1.387778780781445676e-17 -4.445398836332276494e-17 1.387778780781445676e-17 5.551115123125782702e-17
1243533581.102539062 2.775557561562891351e-17 0 -1.331642837094133461e-17 -5.551115123125782702e-17 1.040834085586084257e-17 5.551115123125782702e-17
1243533581.103515625 0 0 -1.804928283137054967e-17 -5.551115123125782702e-17 1.71176080377528596e-17 5.551115123125782702e-17
1243533581.104492188 1.11022302462515654e-16 0 -6.938893903907228378e-18 -5.296286324130897168e-17 2.775557561562891351e-17 6.25957337583300512e-17
1243533581.10546875 0 0 -2.775557561562891351e-17 -5.551115123125782702e-17 1.405003792392394132e-17 5.551115123125782702e-17
1243533581.106445312 2.775557561562891351e-17 0 -1.642022048468447341e-17 -5.551115123125782702e-17 2.602085213965210642e-17 5.551115123125782702e-17
1243533581.107421875 0 0 -2.775557561562891351e-17 -5.551115123125782702e-17 1.279358563532895232e-17 4.600826296208683641e-17
1243533581.108398438 -2.081668171172168513e-17 0 -1.161166423507738069e-17 -5.551115123125782702e-17 2.111457202424824523e-17 5.551115123125782702e-17
1243533581.109375 -1.734723475976807094e-17 0 -1.333049147490644743e-17 -3.802922557936686436e-17 1.083091169110311627e-17 3.237626746034862355e-17
1243533581.110351562 -4.163336342344337027e-17 0 -1.387778780781445676e-17 -4.083033580490511938e-17 1.099980292460011143e-17 3.12250225675825277e-17
1243533581.111328125 6.938893903907228378e-18 0 -1.734723475976807094e-17 -4.421269770248253932e-17 1.387778780781445676e-17 4.163336342344337027e-17
1243533581.112304688 -2.775557561562891351e-17 0 -1.387778780781445676e-17 -4.594260738630825646e-17 2.775557561562891351e-17 5.551115123125782702e-17
1243533581.11328125 1.387778780781445676e-17 0 -2.657340271119026108e-17 -5.551115123125782702e-17 2.339074156656972581e-17 5.551115123125782702e-17
1243533581.114257812 0 0 -2.775557561562891351e-17 -5.613573021044710162e-17 1.387778780781445676e-17 5.172802362066675653e-17
1243533581.115234375 0 0 -1.387778780781445676e-17 -4.245111455039088504e-17 1.734723475976807094e-17 5.551115123125782702e-17
1243533581.116210938 1.387778780781445676e-17 0 -1.062518129035794345e-17 -2.931970537615847301e-17 1.387778780781445676e-17 4.351679609126471234e-17
1243533581.1171875 2.081668171172168513e-17 0 -1.387778780781445676e-17 -4.163336342344337027e-17 1.387778780781445676e-17 4.163336342344337027e-17
1243533581.118164062 -1.387778780781445676e-17 0 -1.908195823574487804e-17 -5.551115123125782702e-17 1.387778780781445676e-17 5.473856762684194542e-17
1243533581.119140625 -1.387778780781445676e-17 7.055096177573370101e-18 -6.938893903907228378e-18 -4.163336342344337027e-17 2.775557561562891351e-17 6.644963593120096193e-17
1243533581.120117188 2.775557561562891351e-17 0 -1.734723475976807094e-17 -4.857225732735059864e-17 2.663847332470010799e-17 5.916104833505081169e-17
1243533581.12109375 0 3.138882953257278241e-18 -1.14895327873158042e-17 -3.469446951953614189e-17 2.081668171172168513e-17 5.082813802582837059e-17
1243533581.122070312 2.775557561562891351e-17 0 -1.387778780781445676e-17 -3.469446951953614189e-17 2.081668171172168513e-17 5.011173650852619005e-17
1243533581.123046875 2.081668171172168513e-17 3.187333182527543796e-18 -1.040834085586084257e-17 -3.141800142092651992e-17 2.081668171172168513e-17 4.295447831185627604e-17
1243533581.124023438 1.127570259384924611e-17 7.428800074457651988e-19 -8.239936510889833698e-18 -3.12250225675825277e-17 1.734723475976807094e-17 4.241674624182221289e-17
1243533581.125 2.775557561562891351e-17 0 -1.222170299695971497e-17 -2.949029909160572061e-17 1.338228946215518825e-17 2.861027004717764023e-17
1243533581.125976562 2.775557561562891351e-17 0 -1.387778780781445676e-17 -3.440669578242996146e-17 1.387778780781445676e-17 3.469446951953614189e-17
1243533581.126953125 1.387778780781445676e-17 0 -1.387778780781445676e-17 -4.163336342344337027e-17 1.387778780781445676e-17 3.903127820947815962e-17
1243533581.127929688 -1.387778780781445676e-17 0 -1.387778780781445676e-17 -4.105281423902507631e-17 1.920797093695062349e-17 5.04549586801333935e-17
1243533581.12890625 -4.163336342344337027e-17 -2.602085213965210642e-18 -2.081668171172168513e-17 -5.551115123125782702e-17 1.387778780781445676e-17 4.857225732735059864e-17
1243533581.129882812 -2.081668171172168513e-17 0 -1.458984174526580998e-17 -5.125801404608934513e-17 2.428612866367529932e-17 5.551115123125782702e-17
1243533581.130859375 -7.285838599102589797e-17 -4.305237551196171613e-18 -2.081668171172168513e-17 -5.238392690104478086e-17 1.387778780781445521e-17 4.327454916292006344e-17
1243533581.131835938 -3.469446951953614189e-18 5.637851296924623057e-18 -7.888461756983900227e-18 -3.816391647148975608e-17 2.225503992745375611e-17 4.857225732735059864e-17
1243533581.1328125 -1.387778780781445676e-17 0 -1.387778780781445676e-17 -3.254640722903540008e-17 8.023096076392732812e-18 2.775557561562891351e-17
1243533581.133789062 0 0 -1.387778780781445676e-17 -3.079134169858832593e-17 1.355736984862037871e-17 3.348979557590150945e-17
1243533581.134765625 0 0 -1.387778780781445676e-17 -3.861282783766883786e-17 1.777149059096381038e-17 4.409681685430689449e-17
1243533581.135742188 0 0 -2.002289157499669684e-17 -4.510281037539698445e-17 1.387778780781445676e-17 4.857225732735059864e-17
1243533581.13671875 6.24500451351650554e-17 0 -2.775557561562891351e-17 -7.189710490714858004e-17 2.081668171172168513e-17 5.551115123125782702e-17
1243533581.137695312 4.5970172113385388e-17 -3.469446951953614189e-18 -2.775557561562891351e-17 -8.332407282773230986e-17 2.081668171172168513e-17 5.551115123125782702e-17
1243533581.138671875 6.938893903907228378e-18 0 -2.529355872568584367e-17 -5.828356177065463865e-17 1.994931997373328159e-17 5.551115123125782702e-17
1243533581.139648438 2.775557561562891351e-17 0 -2.081668171172168513e-17 -5.551115123125782702e-17 2.081668171172168513e-17 5.907447045285758372e-17
1243533581.140625 2.775557561562891351e-17 0 -1.123211547062067658e-17 -2.998347866622337085e-17 1.192622389734054877e-17 3.069366756454749425e-17
1243533581.141601562 2.081668171172168513e-17 0 -1.127570259384924611e-17 -3.416134660823023074e-17 1.368220606800476626e-17 3.174950354843756592e-17
