#time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1186741854 -5.665002511595149659e-18 6.094137931200854585e-12 -2.013283403295072056e-11 -2.68535579133871839e-10 3.278474698439195074e-11 2.787289138850294525e-10
1186741854.000976562 -3.686287386450715076e-18 4.013780967583747474e-12 -5.125306199414703112e-10 -1.162449015518207673e-09 4.806917572319768794e-10 1.06952324514103525e-09
1186741854.001953125 -4.466912950640278268e-17 8.50072789937428297e-12 -1.366017715609402217e-11 -1.669168284493260934e-10 4.043904447414981007e-11 2.941013318297214241e-10
1186741854.002929688 -5.334274688628681815e-17 2.114326942692645872e-12 -5.022815774413658119e-10 -1.140483291139915423e-09 4.562725475221185434e-10 1.054284236301494815e-09
1186741854.00390625 -1.409462824231155764e-16 8.655958762260329564e-12 -1.298006147010255518e-11 -1.495899931702737717e-10 4.103463402405083116e-11 2.778725298902690044e-10
1186741854.004882812 -5.854691731421723944e-18 2.114975295591792204e-12 -4.957267296309963989e-10 -1.133475324884003488e-09 4.509319792567190177e-10 1.047726403899384984e-09
1186741854.005859375 2.840609691912021617e-17 8.859794842219770317e-12 -1.255615750261895869e-11 -1.385865103231687101e-10 4.065519058557565124e-11 2.693666177697867647e-10
1186741854.006835938 -6.158268339717665185e-17 2.324184813790984831e-12 -4.924934314531892454e-10 -1.128659549501365156e-09 4.495832972399582683e-10 1.049097874544768771e-09
1186741854.0078125 2.038300084272748336e-17 8.90959268168289853e-12 -1.227277827975381541e-11 -1.302196050642634439e-10 4.112198125419408434e-11 2.618576570856401275e-10
1186741854.008789062 4.293440603042597559e-17 2.041258941243432035e-12 -4.905491507792292261e-10 -1.125651551137085704e-09 4.472122429322045178e-10 1.048161154659082994e-09
1186741854.009765625 -3.642919299551294898e-17 8.946703295743818618e-12 -1.185520616137775152e-11 -1.27122846971250425e-10 4.061655872744651674e-11 2.563358171558949294e-10
1186741854.010742188 -2.276824562219559311e-17 1.949193981286683697e-12 -4.905818945522000263e-10 -1.120029570391561924e-09 4.466287409354841031e-10 1.048378666214724864e-09
1186741854.01171875 3.989863994746656317e-17 9.018009429484497019e-12 -1.170240217663459648e-11 -1.252073219409899352e-10 4.093905336260972305e-11 2.518868048168032558e-10
1186741854.012695312 -2.602085213965210642e-18 1.19031173806405377e-12 -4.8938518515395657e-10 -1.114980378857932664e-09 4.439931261188134748e-10 1.050376442941758359e-09
1186741854.013671875 4.835541689285349776e-17 9.134304423952244179e-12 -1.146974876187201176e-11 -1.236931685549835791e-10 4.018418583995320148e-11 2.474579707811841445e-10
1186741854.014648438 -6.342582709040200939e-18 9.31624569155964366e-13 -4.873594201815212301e-10 -1.117353887474144269e-09 4.408724427196197837e-10 1.05080469586099623e-09
1186741854.015625 -1.626303258728256651e-17 9.097750330866460899e-12 -1.114578503276508759e-11 -1.207041966377886411e-10 3.999664401760361088e-11 2.446639349451551482e-10
1186741854.016601562 -1.344410693882025498e-17 6.930129480046551547e-13 -4.863828576007200866e-10 -1.11428027221860404e-09 4.407595499515692961e-10 1.051027376242075206e-09
1186741854.017578125 -1.281526967877866241e-16 9.251252541808696606e-12 -1.089955903310624308e-11 -1.192076461414143251e-10 3.978495310974494714e-11 2.414707322984099847e-10
1186741854.018554688 -7.762887554996211747e-17 4.257705299437475333e-13 -4.862734011030350745e-10 -1.10769545619282539e-09 4.4010486921486347e-10 1.056032837565279436e-09
1186741854.01953125 1.092875789865388469e-16 9.243744658604668984e-12 -1.067233541124368301e-11 -1.156869708536512054e-10 3.995703767856184641e-11 2.39154890335768755e-10
1186741854.020507812 4.336808689942017736e-17 4.289762989273526728e-13 -4.854454220331802516e-10 -1.106155389507534892e-09 4.385126584766085855e-10 1.056251842934674556e-09
1186741854.021484375 -5.117434254131580929e-17 9.195269545791973087e-12 -1.051066178536785856e-11 -1.141367764190270861e-10 3.983513519045800422e-11 2.370477703017570548e-10
1186741854.022460938 1.674008154317618846e-16 4.321369651005824153e-13 -4.855449206760120706e-10 -1.105769593945371554e-09 4.391271096748639025e-10 1.060596027668836427e-09
1186741854.0234375 -2.515349040166370287e-17 9.50409369260274417e-12 -1.019865442097867003e-11 -1.108447517800259519e-10 3.988197131484655378e-11 2.368164501304059755e-10
1186741854.024414062 1.561251128379126385e-17 2.495573192540234686e-13 -4.867658151552767265e-10 -1.106611052792416672e-09 4.384417312715271908e-10 1.054740022751743389e-09
1186741854.025390625 -1.170938346284344789e-17 9.434301430355507279e-12 -9.945842760483714073e-12 -1.110456119418623544e-10 3.925826330686277288e-11 2.342357106888126594e-10
1186741854.026367188 2.081668171172168513e-17 2.540259669281397237e-13 -4.868617895989468813e-10 -1.109987046287591594e-09 4.378608170485520645e-10 1.054009238395103853e-09
1186741854.02734375 9.324138683375338132e-18 9.496914539497414154e-12 -9.783118759543185661e-12 -1.102296413868497638e-10 3.906552512034089375e-11 2.321438319352608914e-10
1186741854.028320312 1.235990476633475055e-17 1.672689764475876473e-13 -4.870269881829258907e-10 -1.116964125358332893e-09 4.351372734356928618e-10 1.050340103087021859e-09
1186741854.029296875 4.336808689942017736e-18 9.534956157963847545e-12 -9.507353238014104591e-12 -1.087615553174714478e-10 3.933152241397674942e-11 2.313054747737908201e-10
1186741854.030273438 2.47198095326695011e-17 2.626510120506964086e-13 -4.865505082163323891e-10 -1.11027869450358585e-09 4.335067582683649334e-10 1.052522850125692244e-09
1186741854.03125 1.951563910473907981e-17 9.532510197862720247e-12 -9.354111235593265405e-12 -1.08624360808246001e-10 3.89528791167048638e-11 2.283457312124426153e-10
1186741854.032226562 1.214306433183764966e-17 -1.567527173632889229e-14 -4.872912767739379092e-10 -1.113362920954208413e-09 4.281233748049638466e-10 1.050250323340884417e-09
1186741854.033203125 4.857225732735059864e-17 9.586400250005677748e-12 -9.104189624409286807e-12 -1.076086307192324065e-10 3.979169597989606899e-11 2.286228290016012465e-10
1186741854.034179688 3.035766082959412415e-17 4.511252482686245457e-13 -4.856906266059723976e-10 -1.107752264917216678e-09 4.333348879378973173e-10 1.053035679488001364e-09
1186741854.03515625 -1.994931997373328159e-17 9.63148527946544597e-12 -9.033267189817451026e-12 -1.072403467026680768e-10 3.994371500226634453e-11 2.259238074397984519e-10
