"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1371398560.219,10.609,10.390,3.48e-20,12.647,2.000,5.294790,0.000,0.000,1.000,"fqm4YzrG4Z","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-21/1371398560.21875/fqm4YzrG4Z.png",11.314
1263263867.406,10.609,10.242,4.57e-20,2483.109,0.625,4946.217285,0.000,0.000,1.000,"nga93Puk1s","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SMuGxxIunS/nga93Puk1s.png",5.657
1380312424.656,11.715,10.784,4.17e-21,3406.167,3.000,6792.334961,0.000,0.000,1.000,"DYxXU9hR62","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-10-02/1380312424.65625/DYxXU9hR62.png",11.314
1376132474.188,11.629,10.522,3.82e-20,3761.204,5.006,7502.407227,0.000,0.000,1.000,"Y2d1k1v2YO","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-08-15/1376132474.1875/Y2d1k1v2YO.png",5.657
1371038537.844,12.481,10.152,1.20e-20,12.647,2.000,5.294790,0.000,0.000,1.000,"4cxhH7bJ0O","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-17/1371038537.84375/4cxhH7bJ0O.png",22.627
1370951120.641,11.121,10.023,5.78e-20,2703.766,1.656,5387.532715,0.000,0.000,1.000,"IOpAYGyboV","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-16/1370951120.640625/IOpAYGyboV.png",5.657
1377024753.445,24.264,10.925,2.00e-22,1650.690,4.000,3281.380615,0.000,0.000,1.000,"vWsxPUnIK7","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-08-25/1377024753.445312/vWsxPUnIK7.png",11.314
1251225541.984,11.940,10.576,1.84e-19,1498.166,1.250,2976.331787,0.000,0.000,1.000,"oOmnpwj3Xd","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/MM9ii6oCFl/oOmnpwj3Xd.png",11.314
1373570973.406,12.481,10.715,1.21e-20,2969.550,4.750,5919.100586,0.000,0.000,1.000,"2FWA5NHqZQ","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-07-16/1373570973.40625/2FWA5NHqZQ.png",11.314
1132055447.016,10.501,10.476,1.95e-18,2412.213,1.500,4809.203125,0.000,0.000,1.000,"NxD73Zo6h3","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~scott.coughlin/O1/GravitySpy/images/ML/Classified/NxD73Zo6h3.png",0.000
1373884995.828,11.121,10.342,2.08e-20,3700.979,4.375,7381.958496,0.000,0.000,1.000,"xstccA6YD8","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-07-20/1373884995.828125/xstccA6YD8.png",5.657
1267447347.391,11.940,10.499,2.37e-20,3197.468,2.059,6374.935059,0.000,0.000,1.000,"4hBXgrmUgv","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/RV96mrmZX5/4hBXgrmUgv.png",11.314
1373208941.016,11.121,10.402,2.63e-20,2529.915,3.547,5039.830566,0.000,0.000,1.000,"9UYHb3rsp1","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-07-12/1373208941.015625/9UYHb3rsp1.png",11.314
1260931208.016,11.940,10.925,2.61e-20,14.458,2.000,8.915390,0.000,0.000,1.000,"KoDehIFAkv","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7Lj2jnCmIQ/KoDehIFAkv.png",11.314
1265297972.531,10.609,10.720,9.03e-20,3980.241,3.466,7940.482910,0.000,0.000,1.000,"oyoSxWlViF","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/OskC28DnBp/oyoSxWlViF.png",11.314
1244146894.594,10.609,10.147,1.07e-19,3980.241,2.750,7940.482910,0.000,0.000,1.000,"KxI2sVY0Zd","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/VOg6G7iT2N/KxI2sVY0Zd.png",11.314
1244146894.594,10.609,10.147,1.07e-19,3980.241,2.750,7940.482910,0.000,0.000,1.000,"oof6GymoWR","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ryejUptlVu/oof6GymoWR.png",11.314
1386804170.469,12.481,10.056,9.52e-21,3810.395,2.000,7600.789551,0.000,0.000,1.000,"dYr9takrts","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-16/1386804170.46875/dYr9takrts.png",11.314
1263747129.719,10.609,10.936,4.89e-20,3832.841,3.149,7645.682617,0.000,0.000,1.000,"CWysdmA7UN","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/anO2DuOLfL/CWysdmA7UN.png",5.657
1262712590.203,11.940,10.271,3.05e-20,2338.785,2.000,4657.569336,0.000,0.000,1.000,"BzjiODQA3u","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/jp3KwblClK/BzjiODQA3u.png",11.314
1379074570.094,10.996,10.109,4.94e-21,3810.395,3.082,7600.789551,0.000,0.000,1.000,"JzsqPOY9qD","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-09-18/1379074570.09375/JzsqPOY9qD.png",11.314
